run_id,converged,final_nll,elapsed_time,n2,N2,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,n2_truth,N2_truth,k_max_truth,tau_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta_tau_truth
73,True,36952.80943717014,21706.09766626358,2.3297620253919575,382.04507206624424,0.04502534188018088,213.39593401081504,4.2699356339525245,4.437514033574571,2.0350427999775453,4.48310287409849,45.68657228770373,19.306362632342836,0.9072079011156561,0.23451127467521127,2.2932027718002614,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
37,True,36789.868197249045,21806.660147190094,3.183698603173198,290.09676973961587,0.0515144152931095,239.76082026548917,1.075660116559084,2.0172505329678954,1.8668256564238292,3.7277645415332703,45.32163101852603,10.048099201902467,1.5212101400226474,0.3141389701659941,2.3019799646682215,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
34,True,36771.51786441004,21950.787635087967,10.485466028696274,400.9110499580745,0.011285294426074052,73.97638317958973,3.775072466513227,1.2271302177252394,1.5527803773215538,2.198326165993451,31.68281802322191,11.490696023858675,1.1273781387054926,0.6893712515287912,2.272687088084436,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
42,True,36952.80943717014,22155.015950918198,2.3297620253919575,382.04507206624424,0.04502534188018088,213.39593401081504,4.2699356339525245,4.437514033574571,2.0350427999775453,4.48310287409849,45.68657228770373,19.306362632342836,0.9072079011156561,0.23451127467521127,2.2932027718002614,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
27,True,36773.25800291108,22247.239441633224,8.744746703307792,220.88733567389252,0.01694789978710806,162.81449386019068,4.995068424574951,0.9003720996638511,2.0086318022518697,1.6948887959015955,15.473521799409678,80.92872684800344,1.558822612276833,0.22991468929468994,2.1096889716990597,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
19,True,36789.868197249045,22258.68551015854,3.183698603173198,290.09676973961587,0.0515144152931095,239.76082026548917,1.075660116559084,2.0172505329678954,1.8668256564238292,3.7277645415332703,45.32163101852603,10.048099201902467,1.5212101400226474,0.3141389701659941,2.3019799646682215,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
15,True,36735.62578831492,22398.47496318817,9.872345900209577,244.60371332056386,0.0041471971066605025,62.42328705813922,4.2028370757696205,2.114244064103325,1.833901120761567,1.934666897740742,27.521547160680015,96.68372844951722,1.4627096260951975,0.6836626997114819,2.2034965401324063,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
1,True,36773.25800291108,22527.73311328888,8.744746703307792,220.88733567389252,0.01694789978710806,162.81449386019068,4.995068424574951,0.9003720996638511,2.0086318022518697,1.6948887959015955,15.473521799409678,80.92872684800344,1.558822612276833,0.22991468929468994,2.1096889716990597,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
26,True,36789.868197249045,22645.516810417175,3.183698603173198,290.09676973961587,0.0515144152931095,239.76082026548917,1.075660116559084,2.0172505329678954,1.8668256564238292,3.7277645415332703,45.32163101852603,10.048099201902467,1.5212101400226474,0.3141389701659941,2.3019799646682215,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
2,True,36753.96528092826,22989.75395345688,11.512882761117535,253.30049042128866,0.01762673269760534,72.7681013121311,3.2792445850699132,1.0316561101258528,1.946619733679663,1.8876043321177272,14.040725670803564,17.136611929753457,1.0778425969870271,0.7336894583021096,2.2736035708607147,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
58,True,36833.9324930369,23221.95701622963,6.880083144307826,396.222965081021,0.01564188812700365,60.93142441155742,3.960090434612604,1.2062867541617028,1.5082687852816936,2.0092579293014854,20.960128154133752,16.727961660451243,1.498927442840536,0.6851039137980952,2.255592265776309,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
13,True,36754.515758747206,23491.580773115158,2.5080254191898366,227.4202231007469,0.019585249340815306,56.808815878909186,2.5311568528313497,2.6283072587748646,1.4883516109305908,2.843391093300169,16.746027607944313,23.338552381305924,1.1356338699183268,0.6787096255494732,2.791838600050257,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
3,True,36754.515758747206,23511.27753329277,2.5080254191898366,227.4202231007469,0.019585249340815306,56.808815878909186,2.5311568528313497,2.6283072587748646,1.4883516109305908,2.843391093300169,16.746027607944313,23.338552381305924,1.1356338699183268,0.6787096255494732,2.791838600050257,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
20,True,36768.372592659056,23564.078848838806,2.9747622151563666,260.8320842322602,0.019014674189125315,50.06719236075651,3.5939059633099264,2.289647399091323,2.5545409179326697,4.858610310096913,19.614675246893363,72.76399077007066,0.47600598222394974,0.5111371265248094,2.6113962822368983,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
5,True,36753.96528092826,23594.080644369125,11.512882761117535,253.30049042128866,0.01762673269760534,72.7681013121311,3.2792445850699132,1.0316561101258528,1.946619733679663,1.8876043321177272,14.040725670803564,17.136611929753457,1.0778425969870271,0.7336894583021096,2.2736035708607147,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
48,True,36840.07172046231,24120.38463115692,17.58716448092735,339.7873954936236,0.005919674732582314,102.2150422977767,3.7681033864634372,0.7331983536723365,1.6524060063646075,1.4819523962185206,16.47711994317018,67.59040921473778,1.0772265905765317,0.6032038779448186,2.062700762039486,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
32,True,36830.748307699585,24311.101006031036,12.529927125046132,69.06555554778646,0.010062858951462833,51.40601701810256,3.8152968866838277,2.4896353602199883,1.8865069877549483,2.6687047698876545,11.790487402556598,8.826890927468249,1.0200394962098243,0.44732051904779657,2.118856792858679,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
30,True,36753.96528092826,24466.992155313492,11.512882761117535,253.30049042128866,0.01762673269760534,72.7681013121311,3.2792445850699132,1.0316561101258528,1.946619733679663,1.8876043321177272,14.040725670803564,17.136611929753457,1.0778425969870271,0.7336894583021096,2.2736035708607147,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
