run_id,converged,final_nll,elapsed_time,n2,N2,k,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta2_k,n2_truth,N2_truth,k_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta2_k_truth
0,True,37.50556229623001,28.5933096408844,3.519532206193059,176.5366833129042,0.0227733546073281,1.030667914994798,1.986344669442933,0.9618011500704781,1.9778603854910997,7.736315778117935,25.952145296080296,0.8215487338855021,0.6452590860555171,0.6081799208229264,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
1,True,37.26842473478709,23.084662437438965,25.318435817642786,411.3028757066202,0.01516236872481122,1.4029390718726993,2.494170633096561,1.0075474154916728,2.243526951683723,16.339125146239255,6.023488043584248,0.7251213209058667,0.4191659006183738,0.562313894848884,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
2,True,37.30079756346501,18.03669834136963,12.32775576557318,246.02833356039923,0.013799938533809314,2.24838225662606,1.9241028721755598,1.191287762036966,1.678332484046011,7.134526135209031,38.141285344566235,0.7960811981321692,0.4535211480036022,0.4568277918412166,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
3,True,37.19700025453925,29.554195642471313,19.848310994298696,297.27804394921424,0.012472830202632817,0.6737225224508212,1.1734186181607091,0.6801393378618686,1.7190118209951677,10.863664201333904,32.736539909663136,0.6168272058044911,0.47444975042234216,0.5343897075639671,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
4,True,37.28796774380591,18.681156635284424,21.49600067721079,199.25462050926836,0.00971320937633982,0.9487284153199917,1.9171999274341296,0.660258368703902,1.7103948974612373,18.176678988812863,8.912724081701018,0.5997772872149775,0.6325803113543627,0.43379919730313576,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
5,True,37.142872713502506,22.319498538970947,10.360605889297386,115.6070068349593,0.01854855168666808,1.349199627533625,1.8379087263644662,1.0068050024308524,1.8064846152750464,7.177959243712554,11.500971170261089,0.6241237921687659,0.5328213919917446,0.48152441614862784,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
6,True,37.238830333621124,22.756001710891724,32.293224704455,152.2962399915786,0.005444525039397241,1.1125320434600339,2.800830219886424,0.903243626404113,2.297663608159633,12.214987581160077,39.72820850413079,0.5249919879992927,0.46172221689468784,0.4488985103205277,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
7,True,37.17056321537054,15.904343128204346,23.341969809518197,335.2377082505133,0.009458873600574874,0.5656683660824811,1.543346337930327,0.7913594825098178,1.7435818559005545,12.29286272055004,34.81650746770297,0.601899624573194,0.6310887185792793,0.5679408744688945,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
8,True,37.083804245341824,19.315068006515503,19.464536128127705,499.4291635689719,0.009422174904436417,1.1239753840728892,2.152022173839022,0.8192234541961817,1.947215755736287,16.618579477521724,36.79488726370839,0.6937036508628575,0.5277950508666212,0.4918682307289445,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
9,True,37.12363381151193,27.79161047935486,12.754263595374312,422.99198056585465,0.031111300515052842,0.7403905908778994,2.947153560390574,0.8777379790103327,2.113495634389521,6.880102697966187,6.769844750218564,0.7586575904743321,0.6151813750653861,0.5195959258498503,24.239679,399.162533,0.012391,0.5918467814693421,2.910916353306494,0.6642420645226239,2.41887519538313,13.719599,20.741847,0.461902,0.488148,0.423841
