fold,train_emd,val_emd,params
1,57.31404520481271,101.13109373063978,"[2.3717072996499624, 72.65544258969737, 0.07605874909300936, 192.4822088520823, 0.2884321662229352, 3.0979860872818916, 0.5325977952830183, 3.2667319021230155, 51.76215841637462, 0.5159670259521475, 0.31501358112663597, 3.207650869369688, 14.521513470082038]"
2,55.0041298179937,99.04605793587382,"[2.3855943011169884, 214.23694532818877, 0.06367345035580885, 206.72219943690993, 0.45955980955588505, 2.370240386381736, 0.6672701726830644, 2.0320921344208758, 43.36330352980297, 0.5073050257190064, 0.4089354910339683, 3.456102475372534, 17.231444517315552]"
3,57.92998073326549,106.28081145818979,"[2.3233717170130923, 131.15211252006588, 0.0719365695091661, 170.44022950120058, 0.4589449285973457, 1.3410849837632972, 0.5013717367032321, 1.9915012614766052, 82.47430946284867, 0.34982421461635627, 0.36539674714496273, 3.3046610387289226, 18.648214706733828]"
4,56.719520420762244,97.24087115334788,"[2.172468713136883, 154.16922512170174, 0.07457072536533513, 185.55752748506973, 0.6682232364492102, 2.5389408599652157, 0.6124084686754953, 2.2946387373467227, 45.65225948688801, 0.6291238821497425, 0.3475545249671132, 3.3060047129334436, 18.234858069882513]"
5,54.596208980750774,111.3046808368595,"[2.0888046905295248, 86.11980163632074, 0.06143727852226482, 90.54420802189296, 0.8819420129968591, 1.7185990432152747, 0.5107313534868086, 2.3015894707765545, 84.20852086612658, 0.47463832903587105, 0.4368397569516399, 4.855613613761526, 17.39099860069528]"
