Mechanism,Parameters,K-Folds,Mean Val EMD,Std Val EMD,Mean Train EMD,Std Train EMD,Status
time_varying_k,12,5,101.01,5.96,56.33,1.49,Success
time_varying_k_feedback_onion,13,5,102.82,4.56,56.34,1.50,Success
time_varying_k_combined,14,5,105.70,4.48,60.55,1.48,Success
time_varying_k_fixed_burst,13,5,106.89,7.11,68.29,1.00,Success
simple,9,5,119.27,17.59,89.88,4.20,Success
feedback_onion,10,5,119.53,17.20,89.71,5.98,Success
fixed_burst_feedback_onion,11,5,122.49,16.32,93.19,5.12,Success
fixed_burst,10,5,125.98,16.58,96.09,4.56,Success
