Mechanism,Parameters,K-Folds,Mean Val EMD,Std Val EMD,Mean Train EMD,Std Train EMD,Status
time_varying_k,12,5,101.30,4.71,58.37,1.11,Success
time_varying_k_feedback_onion,13,5,102.21,4.83,57.67,1.15,Success
time_varying_k_combined,14,5,105.01,6.82,63.58,3.01,Success
time_varying_k_fixed_burst,13,5,107.39,7.34,69.84,1.06,Success
simple,9,5,119.47,19.89,89.44,4.35,Success
fixed_burst_feedback_onion,11,5,120.93,16.52,93.75,5.79,Success
feedback_onion,10,5,121.88,18.16,92.06,7.21,Success
fixed_burst,10,5,123.99,17.62,96.87,3.97,Success
