fold,train_emd,val_emd,params
1,83.96600751531093,150.6309253575982,"[3.997123549765764, 884.7502168260332, 0.03725205728455194, 0.9273540587235836, 2.785699766420754, 0.8398660175280568, 4.253285027909141, 0.5804023122668003, 0.4186937878249265]"
2,90.32682341038358,101.89942811871958,"[1.6547805201058061, 1284.2541116310858, 0.057899710499940096, 0.4205234164857934, 1.9437954981858083, 0.5115161532670347, 2.721280256696586, 0.5076970959050048, 0.42369554760580586]"
3,92.36095793287345,107.07761025353986,"[2.8489551056531113, 918.8444559602896, 0.05291636856971443, 0.5463740630994312, 2.5411917894621734, 0.5747372968720416, 3.727465601725326, 0.33200028146697536, 0.39409617355657917]"
4,92.59899133083168,106.70560165690462,"[1.6091238730332584, 1301.4159078374898, 0.06788318514205198, 0.30825237480945256, 1.1468730808332892, 0.503112313932734, 2.1363754627748164, 0.4490985179646006, 0.3978416028728149]"
5,82.1069812087807,147.6267506701613,"[1.6239305816599305, 879.1700156926477, 0.0628447533310814, 0.36130281970904843, 1.3948113131628466, 0.47775336236535026, 2.725596868424681, 0.47355077309064014, 0.38969200973991425]"
