fold,train_emd,val_emd,params
1,124.7286556984138,162.71338833951393,"{""n2"": 2.737752502546165, ""N2"": 704.3721624571974, ""k_max"": 0.0032751057388952787, ""tau"": 1.4612315660506785, ""r21"": 2.2893194430838015, ""r23"": 1.098521455695883, ""R21"": 0.606033925881629, ""R23"": 4.063351054322737, ""burst_size"": 22.536438203735052, ""alpha"": 0.49601665118972693, ""beta_k"": 0.6704150739206565, ""beta_tau"": 1.40300229156073, ""beta_tau2"": 2.9572549846769043}"
2,128.33119058053103,128.6299867401496,"{""n2"": 0.7864169040282967, ""N2"": 892.1278782232953, ""k_max"": 0.0020092957335043, ""tau"": 3.281121518189957, ""r21"": 2.684399372506909, ""r23"": 2.1021373324453028, ""R21"": 0.6434577340123647, ""R23"": 4.367276868560268, ""burst_size"": 36.9754768904627, ""alpha"": 0.11312104290969549, ""beta_k"": 0.7215645027894328, ""beta_tau"": 2.7492186189482544, ""beta_tau2"": 1.9948533247890123}"
3,127.1366775783216,140.92811928583737,"{""n2"": 0.26354084413305046, ""N2"": 239.16726450934175, ""k_max"": 0.004857241982349221, ""tau"": 4.430629271824849, ""r21"": 2.098419965904973, ""r23"": 0.37718634049912936, ""R21"": 0.5285646728550929, ""R23"": 3.679414273513671, ""burst_size"": 14.577914724413974, ""alpha"": 0.2754316017354198, ""beta_k"": 0.7184225758915621, ""beta_tau"": 1.4853082430879285, ""beta_tau2"": 1.1381846926990211}"
4,129.4373473524309,138.24365360670043,"{""n2"": 0.16703998888504756, ""N2"": 698.9407160682051, ""k_max"": 0.001962979877881306, ""tau"": 3.5876459767460864, ""r21"": 2.2678212114517464, ""r23"": 1.7030915284117374, ""R21"": 0.6555298503297625, ""R23"": 4.498388121432588, ""burst_size"": 41.89921656356505, ""alpha"": 0.6301431134652515, ""beta_k"": 0.6506179379448828, ""beta_tau"": 1.9519464995064995, ""beta_tau2"": 1.4869001615091129}"
5,118.22429752068707,171.40210329529324,"{""n2"": 0.8994036114285109, ""N2"": 128.24486268146137, ""k_max"": 0.0036027661963064367, ""tau"": 2.7854342865663955, ""r21"": 2.0912876538102974, ""r23"": 2.5150618902399176, ""R21"": 0.5597145621898956, ""R23"": 4.198925650866235, ""burst_size"": 20.211233188064377, ""alpha"": 0.43382787964361025, ""beta_k"": 0.700701390115787, ""beta_tau"": 2.370156703434037, ""beta_tau2"": 2.416718049760467}"
