fold,train_emd,val_emd,params
1,60.30305112467469,96.5487349216036,"{""n2"": 2.2210313646448547, ""N2"": 330.0832183566491, ""k_max"": 0.058430767405801595, ""tau"": 201.8702943009324, ""r21"": 0.4764081461485352, ""r23"": 3.659384292940252, ""R21"": 0.6402977468663512, ""R23"": 2.546018406589045, ""n_inner"": 73.91501488039889, ""alpha"": 0.4711696225947053, ""beta_k"": 0.45264042167883844, ""beta_tau"": 3.3458268121627905, ""beta_tau2"": 15.825662737011127}"
2,56.04336189124552,95.37576361732346,"{""n2"": 2.281518388990815, ""N2"": 175.92649037715847, ""k_max"": 0.05919003437613799, ""tau"": 146.31221420406777, ""r21"": 0.4770522214399462, ""r23"": 2.1490266556634894, ""R21"": 0.5763132567358341, ""R23"": 2.553803041077151, ""n_inner"": 80.82420946432714, ""alpha"": 0.40657125198265087, ""beta_k"": 0.43256568845338245, ""beta_tau"": 3.6498610135340575, ""beta_tau2"": 18.391386363217293}"
3,70.47949540450597,112.58479881684345,"{""n2"": 0.7369206212223602, ""N2"": 339.6592370620913, ""k_max"": 0.08172417148528827, ""tau"": 200.0585292445867, ""r21"": 0.7847101963622185, ""r23"": 2.212028483932344, ""R21"": 0.806001376790449, ""R23"": 2.0265232298310787, ""n_inner"": 89.93019184941127, ""alpha"": 0.26527637089494216, ""beta_k"": 0.3798484362767457, ""beta_tau"": 3.4279896429173045, ""beta_tau2"": 15.523557466673664}"
4,59.96894876768097,97.7009043040246,"{""n2"": 2.4478104932177445, ""N2"": 254.971171505268, ""k_max"": 0.05846240626011011, ""tau"": 176.15923441007456, ""r21"": 0.2967976230385978, ""r23"": 2.751796627873571, ""R21"": 0.6489819825685299, ""R23"": 2.4677952450353517, ""n_inner"": 58.783693178675854, ""alpha"": 0.5638761147133055, ""beta_k"": 0.447726658302285, ""beta_tau"": 3.4300801327107653, ""beta_tau2"": 17.321494902132958}"
5,65.28530703666824,115.68872285978712,"{""n2"": 1.687037827241607, ""N2"": 330.42108956541506, ""k_max"": 0.05179124944834067, ""tau"": 195.10414738569125, ""r21"": 2.0269122090221243, ""r23"": 3.5433301344302324, ""R21"": 1.0679490085666206, ""R23"": 2.068330562837507, ""n_inner"": 53.08168334345557, ""alpha"": 0.5202923771165292, ""beta_k"": 0.4704887489767436, ""beta_tau"": 3.5019848320707414, ""beta_tau2"": 14.589557479439506}"
