fold,train_emd,val_emd,params
1,83.37294156538555,140.786608140253,"[2.1690104737355327, 1572.4054874736937, 0.05618358042188041, 0.3738766328637111, 2.369638365045637, 0.7620468981081434, 1.591068469081533, 65.84170258437057, 0.6154403575802891, 0.4343563823186446]"
2,96.166477495106,102.39894415507516,"[11.594992168765124, 1500.0276337506116, 0.0268698867031905, 1.6354580363752789, 1.7801725657102823, 1.1215072992563488, 1.319699603002399, 48.231270369789854, 0.42630167207731046, 0.46245416595059]"
3,94.89790656996568,112.3623405107831,"[6.080258550226599, 368.04615805574247, 0.03386909920732298, 0.9666054354042464, 1.5364248367175544, 0.8324469849785245, 1.4660989138076077, 41.80388509028336, 0.6974940885952279, 0.4995985650607341]"
4,92.34681308009462,102.65329915023324,"[2.546016074424159, 781.2558187878883, 0.06432155946986534, 0.43940361098455805, 0.823538525428336, 0.7484370092807359, 1.3296378953736723, 51.10397067187668, 0.19971488255097583, 0.4131551764070296]"
5,81.78094015802795,139.46990322329242,"[4.107356449787474, 475.0319018197913, 0.041819514364878754, 0.9640936648650049, 3.6766107870386695, 0.7869961293735626, 2.3132153610665567, 89.19671443061992, 0.5138987632830146, 0.41235614234769535]"
