fold,train_emd,val_emd,params
1,85.2000071155616,139.3109353514916,"[5.435628855142969, 1968.8129081678715, 0.033066465901064775, 0.8963175303873261, 2.682637683636707, 0.715122647318558, 4.327678844230329, 0.6303581215472072, 0.4705495292289742]"
2,90.81746763905934,100.27672867320234,"[2.25067091959027, 1463.8980970452965, 0.06106695165234256, 0.4544543905196221, 1.3306558723584603, 0.48772622797706666, 2.7913171253348206, 0.3053043539937334, 0.423149873821645]"
3,94.40138737939039,107.9365334158294,"[9.272694542549463, 607.9459627306014, 0.027571440544005947, 0.8644364631032366, 3.033414553889565, 0.7879658581390339, 4.049310082378288, 0.5539687336409304, 0.42771833399641424]"
4,94.23223997966682,107.05222355519518,"[3.9524358372267265, 560.7029684941367, 0.04458278840469398, 0.6675699266458368, 3.288863202248723, 0.6689124829359385, 4.8649143855385155, 0.5664844828346529, 0.40691170673648697]"
5,84.76392574551457,141.77900921219333,"[16.095866938235115, 1066.5015617889567, 0.019464133815880535, 0.9117328724522622, 2.8152383016649267, 0.8561851330244715, 3.5310170162213517, 0.6260648745086166, 0.46236061255819594]"
