fold,train_emd,val_emd,params
1,58.54241839137142,99.75397564813912,"[2.130965033239171, 240.47780659917714, 0.05799902042588516, 136.01309156727544, 0.4795431387742175, 1.98859877261973, 0.6293448852651525, 1.913215986206732, 54.9562804308578, 0.6942749051929975, 0.4935624242463511, 4.162513535691835, 18.685420647690865]"
2,54.99700340694585,97.13286815031434,"[2.3890916986977615, 176.48438537769505, 0.06902280477209996, 205.6308702067057, 0.5166177428304557, 1.9814322705198935, 0.622019643631755, 2.1094679502804494, 59.447307825978626, 0.49708620471546683, 0.35921696658373503, 3.3546898831832683, 16.777331467832074]"
3,56.67148867001961,105.91880963103758,"[2.431979139554308, 229.419071575977, 0.057472317153312684, 185.54073548786477, 0.7157966073456985, 2.2710947776151738, 0.638918572762066, 2.0106396990916484, 42.65251549643869, 0.4319160930522458, 0.42876409885150113, 3.3742321398408173, 16.73892705192341]"
4,56.6140550909178,90.24841289208817,"[3.6466433393192617, 357.38556407363694, 0.057837181851043286, 217.07763269062002, 0.36088462818953304, 1.5612035477825228, 0.5085920822691222, 1.7673861693547706, 86.68533267426724, 0.6402923520329595, 0.42718620076055636, 3.5596223160052083, 16.280658149509243]"
5,56.16316416727622,113.43390642722788,"[2.2874777488604856, 209.80859527539724, 0.062308278070073095, 135.206635378967, 0.2851416200468435, 2.561640535449433, 0.6856557819954329, 1.9984911624395045, 35.228924371263055, 0.4128731279946222, 0.399241022104485, 3.994130617934013, 18.986749864412698]"
