fold,train_emd,val_emd,params
1,56.61520300584223,100.84084022767442,"[1.510087459744458, 258.12590322269034, 0.0692608854296807, 227.56450148706557, 0.32974739084862703, 3.6557018312435394, 0.5217590452873926, 4.463299912699816, 0.4067271244493519, 0.3635880451798994, 3.1130834007845487, 14.532914330399064]"
2,54.26893396928942,93.13167535519719,"[1.5905898498605424, 150.2697436436049, 0.059270168866556165, 158.13864986277838, 0.5220390661606449, 2.7838353090888277, 0.5111606264899988, 3.372125721203393, 0.5500368615269586, 0.4373358353070122, 3.4660631212509303, 15.918248702383703]"
3,57.928578879470464,107.67982372897424,"[1.6305044334530088, 187.14066886907744, 0.060429449982627434, 138.342194856731, 0.420029251430301, 1.7697605257746327, 0.472524502636238, 2.5790492957017177, 0.25491710962986547, 0.4270020612765848, 4.189556882457183, 17.984483611945684]"
4,57.21436148460769,98.7084833528041,"[1.4864779412240594, 634.3814316106098, 0.05912963022131962, 184.27904485109104, 0.5580352567687519, 3.6720112155353206, 0.5310311426511385, 4.085547939170368, 0.6204848910102225, 0.41927553413699514, 3.6596979964378837, 18.07254781778611]"
5,56.20072663672202,109.56651704682467,"[1.8522467740578499, 316.84625524623675, 0.07302154818317183, 193.4894038628335, 0.6392933768249989, 2.7809639651534166, 0.5158703973212753, 4.12032827476777, 0.33745335386240916, 0.3381676704714419, 4.38498510179442, 15.693288506437716]"
