fold,train_emd,val_emd,params
1,92.57199988100574,139.47301142691995,"[4.637175821378168, 759.0918278045975, 0.002856165166311507, 2.5287886971944027, 2.793364188330092, 0.611151248065124, 2.4063423720322836, 48.70829708273882, 77.44975382863228, 0.4576620252556699, 0.4459458968930293]"
2,91.62812303149596,100.89753293372996,"[27.64744992540966, 459.6475639656345, 0.005630207639791045, 0.5895400009527436, 2.4677155101295027, 0.5470987933046723, 2.1862225905411923, 23.792472100851022, 17.853893571462578, 0.3389183119327228, 0.4449555023337626]"
3,98.37582624991667,112.61625864022227,"[1.5487127837807684, 179.7978400423292, 0.009495545682970438, 2.6046152367116795, 3.6184344223656204, 0.40729175943684104, 3.6285698657780365, 13.405746995845892, 55.501778691252184, 0.6093660374253805, 0.4967652223359041]"
4,101.43619118317628,110.00171987702275,"[2.538114906260361, 360.0928152544993, 0.007066081917273724, 3.0610482453237227, 3.877266579229487, 0.6234958745832908, 2.218143653935386, 19.55622235756615, 54.82895667016796, 0.4764758762290954, 0.4183713451373732]"
5,84.72358378197086,141.67514119197727,"[22.183648305551706, 1338.5217375912043, 0.007328245436278545, 0.6414132885132162, 3.1437612221995668, 0.7068629259152903, 1.818519533824965, 10.484558137292737, 47.22578633309717, 0.5467697809425187, 0.4399569101624725]"
