fold,train_emd,val_emd,params
1,82.68604237260999,138.8635121295237,"[1.5701139765642367, 1244.3723650818142, 0.059775454178428736, 0.5356850598269525, 2.474708911596231, 0.4837349530386832, 3.4598139279048072, 0.3488641071929169, 0.4161885942891176]"
2,90.52440823272579,100.89171167193415,"[1.8017548702050163, 1420.6090769385237, 0.06156875870071984, 0.3878986459405933, 2.3049874614457715, 0.5120709138583698, 3.419612062100187, 0.4679374585043241, 0.4119690842989884]"
3,95.97599870718982,110.19808322206651,"[5.611062558714739, 384.5336697567177, 0.03013340761112454, 2.220068029122127, 3.7954273476182534, 1.6768801314178965, 4.834197419858779, 0.5538753367283576, 0.4416659424611147]"
4,92.53195445713072,105.20692461695086,"[2.432836617255102, 164.77772247929988, 0.06423756149519502, 0.5277690379480808, 0.83246173727707, 0.5026681427633456, 2.074478303959848, 0.5878425938625826, 0.3945145269746747]"
5,81.37139030300125,145.1974844387188,"[1.9712075444155275, 1181.328980661882, 0.06513980807060271, 0.3826251786077406, 1.3092446725817317, 0.4663275491424578, 2.8165135647145236, 0.23721526848262922, 0.3841948962924859]"
