fold,train_emd,val_emd,params
1,66.48430748194599,113.03454969680219,"[16.331806472682217, 541.4077246884829, 0.01075821749851287, 210.26633353983192, 0.3997896316279499, 2.0265199479570137, 0.444479540233399, 1.773248820524128, 15.788771722822505, 93.01043190967715, 0.37252006346653904, 0.3141462349106275, 3.7396640206668956, 15.158229846412143]"
2,61.718247226411414,96.39840399390356,"[20.206807619346126, 397.4025284784142, 0.010527827486217257, 156.7159004613817, 0.46163259565959014, 3.1344959587510273, 0.5571151692754474, 2.406086116482143, 16.929249307775706, 12.380865635520237, 0.3309157108570135, 0.3635405553477408, 2.3377734102922485, 12.277280966240772]"
3,61.514900845314344,108.77772275058007,"[26.68955153771869, 1160.4544469846278, 0.011219682958595406, 237.21491768799604, 0.26974625732591506, 2.7609791333440317, 0.49936804661616985, 1.7734902161013002, 10.566209565812288, 30.783697083365904, 0.47327244814424363, 0.3858842688657477, 3.123079036440318, 14.024648207374533]"
4,67.86603905209603,97.29135912764136,"[9.818669240199721, 315.4201341839348, 0.010578065293150793, 178.67386798346502, 0.6357906953499874, 2.009923439030974, 0.40428273825547056, 2.6963902884998205, 35.7190664984008, 92.48778672032748, 0.5835406297902782, 0.2136312638563661, 2.7460064649114297, 12.937174598151659]"
5,60.30210465574611,109.52363196543504,"[31.419200221610467, 340.4698382520528, 0.016791664013928613, 227.39306985602988, 0.45693753879474586, 1.7630275794282981, 0.4938289209341944, 2.3090603166693793, 17.154605832628484, 27.936065644235928, 0.299937236153686, 0.23894600773630165, 3.1226508281530805, 14.20680116069605]"
