fold,train_emd,val_emd,params
1,91.49433965497755,141.5434157193094,"[4.41748069511722, 1365.025362556587, 0.009509024321008364, 1.8566780709191444, 1.2613570726777668, 0.6270406251782362, 3.715849077842127, 11.223577742339787, 0.6315083932137113, 0.4525408574895057]"
2,98.0332874623181,105.42016755540811,"[2.7855890127027365, 846.4248555899026, 0.00337456110276467, 1.8331517336944279, 2.0275663558520525, 0.6618242901917699, 4.077868873398025, 29.948517516157814, 0.3559725613263842, 0.47772405201488066]"
3,98.78116072280785,116.20006029831697,"[3.689117053750117, 527.6078896745105, 0.00801575979107301, 2.800917657774555, 1.3823182969783443, 0.5653534886813467, 4.456957298344975, 13.017434560639328, 0.17930392349859964, 0.4894938442214518]"
4,99.91415928987035,112.43002941857038,"[8.542430772745725, 1404.5774643767663, 0.00422233443354518, 0.3818812659972073, 0.42711988752796515, 0.659008991036275, 4.306980359604978, 26.313527953668384, 0.39304443230119823, 0.4729010854549461]"
5,89.82901776060544,144.98308254305005,"[3.922150412015416, 580.5540961094122, 0.010018003264788043, 1.0742245596620073, 1.0157686349821913, 0.5801798147200964, 3.9654805443906143, 11.350847720071162, 0.4733635231957307, 0.41836624358180763]"
