fold,train_emd,val_emd,params
1,58.0695490468557,100.28161104009706,"[2.0444880224918265, 1523.5693794238891, 0.05803345731344925, 222.84092385073942, 0.4353808220622426, 3.152465959600346, 0.5239765536936147, 4.571452183506354, 0.6019909664449057, 0.43449823066182997, 3.751771010786569, 16.39463321049461]"
2,53.215282121332486,96.79930884980033,"[1.8755870339557141, 229.18476254204484, 0.07061118583312612, 208.9554811808934, 0.5098127962142134, 2.311862996120537, 0.513962471853361, 3.9668534102748, 0.4299030687243267, 0.3485040549242596, 4.0860660797867885, 17.335158776847063]"
3,59.38791602158135,108.62603578094155,"[6.08757369817582, 162.47902143127794, 0.04398271337221605, 221.45616412326564, 0.4526764282391442, 2.6493798422306103, 0.46995887235191447, 3.7033167588849567, 0.3468876353330134, 0.37165608479156553, 3.684303291169429, 16.27562990425817]"
4,57.153888068205056,101.70770921045492,"[1.8232130940247977, 1390.3846332377038, 0.06125333382455207, 203.06463419047924, 0.40471229556558463, 2.557619736993637, 0.5321099751250669, 4.1772851468230865, 0.47334489196004026, 0.42770638236766745, 3.661897956573526, 18.666325309106593]"
5,55.12936614933406,109.16052317624305,"[2.1351921346423595, 233.88139110430734, 0.06044917394501924, 127.69913377044868, 0.6181023975860316, 2.618130458201422, 0.515788135799378, 4.07030454450386, 0.3930131485392085, 0.4371345772598418, 5.349429384074137, 19.608347837770797]"
