fold,train_emd,val_emd,params
1,91.6240961215413,145.250543333528,"[4.077406617753617, 724.892340603796, 0.009768476309000636, 0.6623140950335467, 1.6112356232053107, 0.6737407038563688, 3.872014425582344, 10.806951795922084, 0.5820072136588222, 0.45674885322090475]"
2,97.41091598988608,106.95518269593693,"[5.30355966481925, 770.126196229832, 0.004403423547250658, 3.387665984226177, 2.0832822076839874, 0.6078520070750898, 3.9955491732113027, 21.548651351619174, 0.6217865175556755, 0.5331533359092905]"
3,98.19159013275693,111.28547588761379,"[1.8477641853832019, 1993.4473362530002, 0.00611995704332545, 1.8954392206413724, 2.8250392417605505, 0.602150746513003, 3.839126571810088, 17.094831347112876, 0.4672007196050519, 0.46389885792204066]"
4,100.10899889202676,110.87620584829587,"[6.685246421537254, 559.7988101822564, 0.008420679763694157, 0.449741840696841, 0.743672675166305, 0.6609534292952847, 3.8904698034160474, 13.304020036956713, 0.20061389109893782, 0.4482197656256261]"
5,90.11657511061411,147.0666031960081,"[5.502414912946303, 1139.7155215939238, 0.005607471804688645, 3.470032140346942, 1.408464819817104, 0.5606862760448683, 4.162974289037422, 19.637872849698688, 0.3467403774264458, 0.4429175917450431]"
