fold,train_emd,val_emd,params
1,69.89388773270484,106.55227451226907,"[3.8543926694028094, 176.5853536943854, 0.015402391100098362, 155.70291985230028, 3.767552704073342, 1.9452904322024263, 0.6852531063809953, 3.6744798868277218, 18.359343623137278, 0.4201076551352631, 0.2133482647172606, 3.272617164003087, 13.449496742759784]"
2,67.55696571141686,97.67599183603147,"[3.481441807102165, 629.6156936193012, 0.007972813890423501, 208.004927076055, 1.9601636733542755, 2.958410747691115, 0.6901655490535539, 4.0931933533006735, 38.84586587302614, 0.35140515456117044, 0.24115218895091928, 3.227408700343898, 12.156275266960392]"
3,67.73845887842495,113.93862741469022,"[6.335444144721436, 434.94756341027346, 0.005486153642665061, 95.78030250712946, 2.2322980798305334, 2.3070647268752795, 0.5598960566479587, 3.580144049775444, 20.235777645034382, 0.5972045140768523, 0.43167574618353544, 2.377355985986831, 11.430438196876736]"
4,69.01049779847395,100.57333616641142,"[6.584803774154047, 389.7218536135307, 0.011097527692666712, 207.69107500273685, 0.4635861965343475, 3.2478957783650966, 0.6226957176312435, 3.6262433692536105, 34.39643837247813, 0.49352061670455355, 0.20443630148166397, 3.072717828534537, 15.132039517345385]"
5,67.24190303394863,115.72851195388662,"[3.915262725281636, 369.5854002112727, 0.011222902399997604, 229.79040395389057, 0.32204700181891144, 0.43655162043152607, 0.6657089803789608, 3.7327434050955253, 41.723795194275766, 0.39141673255916715, 0.21252223197979586, 3.3839890303276814, 12.901227568037726]"
