fold,train_emd,val_emd,params
1,91.91217213140504,138.5049522641619,"[4.3685481370510715, 437.0190253187037, 0.005654903897792239, 1.2574774406805869, 3.0504437669888715, 0.5523100484078334, 2.480332601156822, 32.2478158879882, 28.55435463677895, 0.6695522629614536, 0.42801883749134034]"
2,97.8237196683005,102.87554680053925,"[3.5842086432571314, 733.4329542521696, 0.004565681503020773, 3.244349593073304, 0.8194717700269518, 0.6160963728122861, 2.87307384156007, 31.10590245337978, 82.31695579789009, 0.44571092846243165, 0.5046845038176303]"
3,97.18752436422554,113.38857020490414,"[6.612228604695865, 652.3216482462108, 0.009395813882349488, 0.910502829482376, 3.3096174159596092, 0.5057609945258735, 2.529380045315929, 35.10500411330375, 4.640443643245227, 0.570244824937927, 0.4329650562616738]"
4,95.22804172775514,112.6061723775531,"[26.086900022342398, 1513.5376050381312, 0.0059094044639289856, 0.34083204377299414, 1.9082984739489484, 0.5803420553079094, 1.7508167856105512, 21.753240758318707, 34.78004694901263, 0.6721870002693271, 0.43834879257516374]"
5,83.8124818042443,145.08957416657594,"[37.940891885133496, 1066.2622326867092, 0.006624452123694259, 0.4064322743148734, 2.6358567883561843, 0.6871066542113584, 2.115111858739362, 26.614859653093564, 10.18979987647478, 0.43727172800650854, 0.4217013216354235]"
