fold,train_emd,val_emd,params
1,84.19107116129598,137.2742884145032,"[39.048087080490276, 1801.9102638311106, 0.004107721061880766, 0.6028070350245531, 3.360581679736365, 0.6944782745753395, 1.9696663921807747, 29.661184859307042, 38.32236266543339, 0.3533510986416572, 0.4009612426020405]"
2,90.44423306605674,100.54885068293225,"[47.37399532115904, 685.2565064397068, 0.005050021173189562, 0.632583027857571, 2.022684042171245, 0.595367197037455, 1.999806679450597, 40.63613038456629, 7.178447399848444, 0.41694019928810633, 0.43321297888433064]"
3,94.93238592973742,115.64371462920145,"[22.66914677351864, 715.7820850930486, 0.005868199182907895, 0.7815367566442093, 3.5595288377096086, 0.5578062222348547, 1.9694055876625762, 21.19403983751465, 16.421874894057083, 0.45515732246673024, 0.43506981567770586]"
4,94.19586171104208,102.68240872997417,"[46.818070319140745, 1514.2207171538096, 0.0033600746097319154, 0.6189450119636204, 2.384045830662986, 0.6635040210352557, 1.942489267159179, 40.371690758572214, 35.78363485085291, 0.5038929587866869, 0.4237280634669341]"
5,85.85060491351447,144.91871415857642,"[21.17598728776695, 1351.7402004377054, 0.009855430882184033, 0.534613730498517, 1.2434090048330184, 0.6620510306706316, 1.454426466919387, 23.246569085926684, 6.385002017144515, 0.40434582939296104, 0.4285923150065504]"
