fold,train_emd,val_emd,params
1,60.53278900034486,104.50052987691706,"[41.50835941449354, 696.799726247792, 0.018826054954519562, 229.3063066792473, 0.31586686958714383, 2.6903377425373347, 0.5253549944817275, 2.3703677787720636, 42.31199650422245, 5.249887492232659, 0.2061072309984218, 0.19133799103338844, 3.9217275740683943, 15.975894006958956]"
2,61.810476325799996,101.5661285341265,"[42.30209702108722, 1566.2539875227294, 0.006729777360246901, 213.88992589192225, 0.4763381657811483, 1.2676593394903066, 0.4384547953761657, 1.631231802089822, 35.51137128517486, 80.89301895142492, 0.48287892420945144, 0.27570493640164945, 4.315952254771987, 16.873789031397166]"
3,62.48816975794045,109.03671516503593,"[38.91767402281661, 306.46007715588996, 0.007645576053350214, 67.84169445609736, 0.2770023185999668, 2.211189095740833, 0.4071873545883855, 2.7356260679128375, 26.767592823903204, 9.183405038339018, 0.26663180119636154, 0.3534841206737541, 4.33388273601836, 18.82936634018727]"
4,59.45361841013233,100.82644749718594,"[27.421956982905698, 1119.6936141728518, 0.008563064502691696, 132.35090698136167, 0.3824354820846514, 1.5861917283651614, 0.4118414617083057, 1.658598641003748, 28.722272487023808, 17.323186683918834, 0.511618261465554, 0.32269626778761396, 3.2835928219317916, 17.977315905375207]"
5,58.46702859123683,112.54666687778368,"[48.7810494041617, 1142.9669898636582, 0.009267981387685871, 162.28681997239, 0.4567172221064404, 2.5446197112697657, 0.6258858412731025, 2.244634430882201, 36.906439260543856, 16.728575468454885, 0.171281140209938, 0.22506075676461212, 3.535076117771863, 18.497510270506005]"
