fold,train_emd,val_emd,params
1,57.46425994432145,96.04938162672724,"[2.320810156207859, 99.23109072318834, 0.058821781870382235, 131.162017691197, 0.4924471785983755, 2.0353170072841342, 0.5230216330876776, 2.78395900034827, 98.36773806102647, 0.489855466908905, 0.41497197512723083, 4.221620719934572, 15.680385467366378]"
2,53.75033236399992,101.0057787033042,"[2.876649626920301, 156.09617583811712, 0.06279573836375943, 185.67837635883808, 0.2773556237823618, 2.7493226992436144, 0.6585378833282666, 2.4760630822111684, 37.435788489089155, 0.5000939134057876, 0.40576763216036715, 3.573291300487429, 19.298081040115125]"
3,57.429780086090986,106.69258754463316,"[2.8241921545736552, 433.5677274708512, 0.058998281542459535, 221.41349549432033, 0.5993806171055656, 2.100915520997223, 0.6726438796791955, 1.8917874281035822, 60.80269265403365, 0.41796148138914474, 0.4163123760035585, 3.714362563285864, 18.047234881533484]"
4,57.52266021854306,101.3596187433682,"[3.702188724095297, 146.48297631280934, 0.05933681868915716, 164.76868793909495, 0.4116056969108526, 1.3393503044412989, 0.4407561194638294, 1.7613909398276244, 61.41274743211105, 0.6660848414032445, 0.3890622282884556, 2.9092949885630794, 18.384108508970947]"
5,55.52044835683668,108.97313760920355,"[2.292276115643194, 51.52763204909763, 0.07968497219228605, 161.566684145026, 0.32697598516647797, 2.270515540842501, 0.5066739790343349, 3.496124838657498, 76.78022396008393, 0.5088648442916304, 0.2981521103302889, 3.5094475356621637, 13.522443547024288]"
