fold,train_emd,val_emd,params
1,59.38893117832615,103.28190634167527,"[38.586464307046896, 685.9315602263263, 0.006179045317844696, 137.94041773977762, 0.40002220488242113, 3.169110348271575, 0.46586203571412543, 2.413411303344719, 20.604154258350277, 66.51296138707565, 0.4042221194870505, 0.29755411741139304, 4.40179549221715, 13.730276494059533]"
2,56.602994722510786,98.60381616625067,"[29.448921230488235, 178.416703750867, 0.006556923216326782, 64.3792927157386, 0.5269002675958974, 2.677383090695817, 0.5042725406994162, 2.9144143375490827, 18.908654340748583, 22.049204775640355, 0.34022879555063207, 0.409123949381592, 4.431139299658143, 19.360640061502245]"
3,66.16642668850858,111.6292312431623,"[14.702816751002189, 796.2800988399016, 0.010536370337486264, 192.95521745275562, 0.33760708878185164, 0.9825349750208017, 0.452643640326317, 3.2408260597051246, 43.89186455199642, 63.56295124635864, 0.6148405847950884, 0.2635876606245973, 2.6554453123374167, 13.124239190068984]"
4,59.20082345832342,103.02156908612119,"[29.379733023913637, 290.68376375538946, 0.009994322648237075, 110.55935544507463, 0.4041905158988406, 2.9779436999452353, 0.4409671564518899, 2.4462995951829, 22.815095214751278, 15.64576509753001, 0.43702604008525875, 0.27342721725751357, 2.6276673509878297, 17.242174890053334]"
5,60.80249780018426,110.84075350588256,"[21.8008765298507, 684.0648607218857, 0.011029258691202935, 214.01608633189178, 0.4690480539562676, 0.6700675143982393, 0.5377983820259329, 1.2145535210619853, 13.504147368503753, 60.12614375395629, 0.5275178974267956, 0.28927863272370696, 3.4624685584885566, 11.648266095370564]"
