fold,train_emd,val_emd,params
1,86.59802658393906,148.03567042290706,"[8.04517606753712, 1039.807927925225, 0.028900507715419032, 1.2740623348777356, 3.6719308548904603, 1.0997250848573916, 4.743076315743933, 0.5604388883748088, 0.42362262386570004]"
2,89.8423259412177,101.10798153036984,"[1.5763834014288491, 753.1797411107407, 0.05765366767723592, 0.5230628359408966, 0.9444394048604721, 0.4878812734193776, 2.0967162568472575, 0.4513891997549146, 0.46713067062082614]"
3,95.7296163800605,116.16444428419882,"[2.598949374918398, 1431.5130642281842, 0.04123697633481163, 2.773131162348444, 3.719223888758342, 1.7368246730922277, 4.813968446693748, 0.417390175124653, 0.43161945910641464]"
4,93.82762565891426,104.85798921433317,"[1.9567835742696182, 1126.2166884853748, 0.06070755568952285, 0.6296595123067457, 2.097135414018352, 0.4993530137690353, 4.336731900134819, 0.5514087248632964, 0.4165534399094476]"
5,82.82043581543871,142.0849066516323,"[1.6577732890441084, 1124.1036175079773, 0.05867816600044014, 0.7077572841380511, 2.180347823985546, 0.5161767689699536, 3.4459352723210355, 0.6114771107971243, 0.41626744701577945]"
