fold,train_emd,val_emd,params
1,124.10379065564568,161.91292216609764,"{""n2"": 7.449329729013218, ""N2"": 639.7710908183498, ""k_max"": 0.002509389207471624, ""tau"": 3.786122434277872, ""r21"": 1.5894185473660274, ""r23"": 1.4765039442165977, ""R21"": 0.42628150196530623, ""R23"": 2.592107653965899, ""burst_size"": 36.846604714540454, ""n_inner"": 86.16044790414804, ""alpha"": 0.17794676368482468, ""beta_k"": 0.705482926361027, ""beta_tau"": 2.0223332781668697, ""beta_tau2"": 2.6309965197200733}"
2,128.3672244551495,129.04838941826466,"{""n2"": 7.903548041530627, ""N2"": 824.5010116649787, ""k_max"": 0.0022810154966177026, ""tau"": 3.528844983507582, ""r21"": 1.537275958405968, ""r23"": 1.9777340344309762, ""R21"": 0.6749434623644136, ""R23"": 2.4591445064964432, ""burst_size"": 44.54847457166294, ""n_inner"": 61.5036470905875, ""alpha"": 0.2741866982320182, ""beta_k"": 0.7323479430684896, ""beta_tau"": 1.0700396772668292, ""beta_tau2"": 1.2742109510773951}"
3,127.4552173183808,136.98245916128212,"{""n2"": 0.5825145451310156, ""N2"": 357.3631058519853, ""k_max"": 0.006681187382763562, ""tau"": 2.714303563766767, ""r21"": 1.5922987963956894, ""r23"": 3.3356071237100817, ""R21"": 0.593335991064557, ""R23"": 2.0720702679606866, ""burst_size"": 20.759369073233305, ""n_inner"": 8.612121805531118, ""alpha"": 0.349227153425805, ""beta_k"": 0.6807747007509138, ""beta_tau"": 2.687979190989699, ""beta_tau2"": 1.5468243108849036}"
4,130.44583940513076,133.15518769496674,"{""n2"": 4.625466300962934, ""N2"": 540.7744193482168, ""k_max"": 0.0038430186190383103, ""tau"": 2.9272401078189945, ""r21"": 1.4656291693153647, ""r23"": 1.216402177859952, ""R21"": 0.7074177629762853, ""R23"": 2.0873888223494044, ""burst_size"": 39.570460416215674, ""n_inner"": 11.54729185630977, ""alpha"": 0.46029619927118964, ""beta_k"": 0.7201456628112207, ""beta_tau"": 1.7037457552068689, ""beta_tau2"": 2.6141137315953626}"
5,117.45926331136826,169.76350726717396,"{""n2"": 3.6030115640785745, ""N2"": 837.8894586916215, ""k_max"": 0.005998289000212216, ""tau"": 2.9407408600741416, ""r21"": 1.7017348663635543, ""r23"": 2.9937348620953816, ""R21"": 0.6750188174064907, ""R23"": 1.9506990095996963, ""burst_size"": 15.15631972406205, ""n_inner"": 66.26799574592947, ""alpha"": 0.6237356611162655, ""beta_k"": 0.7190492078043629, ""beta_tau"": 2.3489250295301662, ""beta_tau2"": 1.609597143835929}"
