fold,train_emd,val_emd,params
1,58.50753864563835,101.5549819044198,"[4.498020286747629, 321.43128471134787, 0.044952053693895426, 216.03087522246858, 0.5676671248237357, 3.6031591522352486, 0.4033650442406106, 4.4447420121907015, 0.3833746419254081, 0.4448806313266058, 3.969580249084821, 17.432470476452494]"
2,56.30836964369329,96.45828137754462,"[1.8993922670424261, 1053.037308275178, 0.06034868932571089, 197.92594191919244, 0.31858932774826254, 1.2172345846147654, 0.5121332734233048, 2.6817833560420925, 0.3199243774348534, 0.453000298297314, 3.9838860014773956, 17.745871166692712]"
3,59.57985674813827,103.19689686037373,"[1.8378963631928045, 1979.63634122772, 0.05725581485377319, 213.6761842772379, 0.5793665379406316, 2.5050497439656887, 0.4824891512608065, 4.010508791537732, 0.44410791128147625, 0.4324277007857025, 3.8186580219976047, 18.630769568145993]"
4,58.482185038219214,96.31184279550251,"[2.089755157948563, 198.8110613371847, 0.070599846761056, 174.08392340549463, 0.3500165569035045, 1.6631208979602068, 0.5208404261588195, 3.401611793118099, 0.5052188322588742, 0.3860498382557991, 3.823642178022775, 17.54333291957614]"
5,58.97866276036051,108.96163516635195,"[6.536528938568473, 519.3416718191861, 0.03606116225538752, 214.0396233570729, 0.4758295764481899, 2.379012074753745, 0.4240892182380437, 3.1292279023801197, 0.5158012799255525, 0.4784200304082581, 3.8987632269477577, 17.293493140171883]"
