fold,train_emd,val_emd,params
1,62.57483473811098,110.30963698360146,"{""n2"": 7.313980691641341, ""N2"": 244.08128481796734, ""k_max"": 0.016363677525544705, ""tau"": 131.0351511538237, ""r21"": 0.25552398230020645, ""r23"": 1.853982670618009, ""R21"": 0.4245020611511936, ""R23"": 1.9753448325519112, ""burst_size"": 7.085867662658522, ""n_inner"": 42.92744952014431, ""alpha"": 0.32811727932229334, ""beta_k"": 0.4069313918674695, ""beta_tau"": 3.625586520594347, ""beta_tau2"": 12.881412686812276}"
2,55.97100636566302,94.47488737573039,"{""n2"": 41.84409216473475, ""N2"": 271.9451221480901, ""k_max"": 0.007153225274394735, ""tau"": 99.1361601705654, ""r21"": 0.39593757582010736, ""r23"": 3.2214741734009253, ""R21"": 0.42555735418324736, ""R23"": 2.867587545722519, ""burst_size"": 30.967302800130813, ""n_inner"": 15.101288917118644, ""alpha"": 0.28902868199981047, ""beta_k"": 0.26630080492361935, ""beta_tau"": 3.4441416329056516, ""beta_tau2"": 16.045886310436874}"
3,58.831039482178575,106.6632691888133,"{""n2"": 11.848312972376728, ""N2"": 946.5061796729219, ""k_max"": 0.014922268142732967, ""tau"": 183.4572015640048, ""r21"": 0.39236681419600283, ""r23"": 1.7221399526621815, ""R21"": 0.5466075290200287, ""R23"": 1.489452422530549, ""burst_size"": 7.4984504199458115, ""n_inner"": 26.465561965966607, ""alpha"": 0.3994598295782401, ""beta_k"": 0.3815430140463867, ""beta_tau"": 3.697152492170952, ""beta_tau2"": 17.474972106956407}"
4,59.53162680458105,102.59691961522337,"{""n2"": 37.63157286180456, ""N2"": 333.0773090502201, ""k_max"": 0.012423197671438825, ""tau"": 194.6743005323541, ""r21"": 0.42994104109207854, ""r23"": 3.805935458432314, ""R21"": 0.43244413071403964, ""R23"": 2.9302885879778158, ""burst_size"": 30.810869518151186, ""n_inner"": 24.27769806070086, ""alpha"": 0.6267912232162253, ""beta_k"": 0.1761299645570415, ""beta_tau"": 3.4419300134121666, ""beta_tau2"": 16.219791697258024}"
5,59.20952567185372,109.60865769196894,"{""n2"": 23.28036244297063, ""N2"": 390.0486230278293, ""k_max"": 0.017968120382621355, ""tau"": 166.82564692794512, ""r21"": 0.5895207647389891, ""r23"": 2.56218767863339, ""R21"": 0.4388695024105781, ""R23"": 2.326228398840563, ""burst_size"": 37.240311029228955, ""n_inner"": 4.866391318559579, ""alpha"": 0.19211059056354243, ""beta_k"": 0.2109753219427966, ""beta_tau"": 3.0433729245473002, ""beta_tau2"": 13.156257927526163}"
