fold,train_emd,val_emd,params
1,91.6403673903126,143.60225390370692,"[3.11981453088422, 1154.65358837651, 0.004420214047252104, 3.874161799715848, 2.522834822163479, 0.5823688189439713, 3.7028009604452428, 22.73328923207535, 0.25113387660368425, 0.4595699934966383]"
2,98.31833152030356,105.61732479619373,"[8.62549184928751, 1757.344977486038, 0.0044341095267151215, 1.6173570303672746, 2.5304176607180375, 0.634748984212412, 3.9862673897881606, 21.903914208605336, 0.26383782161795494, 0.509803627880349]"
3,99.22167608016387,118.76434836196415,"[8.074058630244554, 705.6948299324652, 0.011618497500083112, 0.7041408910239424, 0.8180411446042344, 0.5521598831338451, 3.73443286884591, 8.17187394830497, 0.30399403585173035, 0.5317359820371165]"
4,101.50619458359526,114.42003136099744,"[7.49424518802935, 1977.1719217892512, 0.0025959107849779853, 1.567410722402962, 3.5363436890801667, 0.6018538628543426, 4.676679565083443, 44.71853801706279, 0.12536257672989098, 0.44154862990522453]"
5,89.74697476605938,147.4943331114244,"[4.057598416756015, 268.94111642000905, 0.004213436286616724, 1.7394883975983169, 2.3870361467277026, 0.5659507394499841, 3.9850288188531984, 23.369182753552, 0.4225022311022788, 0.4890042112731394]"
