fold,train_emd,val_emd,params
1,59.933298405329175,97.23800321418156,"{""n2"": 2.1874427534373098, ""N2"": 154.26008337497018, ""k_max"": 0.05589961841226001, ""tau"": 161.64737507406144, ""r21"": 0.5468365870540957, ""r23"": 1.6443405664891224, ""R21"": 0.5037059712498967, ""R23"": 3.365476218855941, ""alpha"": 0.5717181709147192, ""beta_k"": 0.4459556125671581, ""beta_tau"": 3.153927190503055, ""beta_tau2"": 14.286147423891174}"
2,56.27910060584129,96.68450425002871,"{""n2"": 1.5902646858584895, ""N2"": 841.4834706550384, ""k_max"": 0.0584820036965502, ""tau"": 177.5357227425556, ""r21"": 0.628829532452911, ""r23"": 2.3585811326847583, ""R21"": 0.5140351897287607, ""R23"": 3.4133755190118684, ""alpha"": 0.5241193841768752, ""beta_k"": 0.44411791178751225, ""beta_tau"": 4.389721279519868, ""beta_tau2"": 19.604169245885625}"
3,58.53017040655529,106.0699656537515,"{""n2"": 6.346961218900596, ""N2"": 296.38624603172343, ""k_max"": 0.03731418850876648, ""tau"": 229.80131532093105, ""r21"": 0.5353772253036699, ""r23"": 2.820120615802506, ""R21"": 0.46245411375205336, ""R23"": 4.0735041028653285, ""alpha"": 0.4690700627800803, ""beta_k"": 0.4039392920229364, ""beta_tau"": 3.0977605009963987, ""beta_tau2"": 16.58340025901026}"
4,58.4665940665308,100.4951419123362,"{""n2"": 1.6237721623365609, ""N2"": 153.18113899198818, ""k_max"": 0.07431070859556826, ""tau"": 186.53046100170502, ""r21"": 0.6059923525624415, ""r23"": 3.1035316461408327, ""R21"": 0.5215473425510496, ""R23"": 4.095439977739881, ""alpha"": 0.5409898671926392, ""beta_k"": 0.32431257911064987, ""beta_tau"": 3.052581492887592, ""beta_tau2"": 17.497163409933943}"
5,56.97969992825666,109.5790442365007,"{""n2"": 1.6455067967924393, ""N2"": 554.8577385981322, ""k_max"": 0.06010089772057517, ""tau"": 174.5284927263859, ""r21"": 0.4486931499863167, ""r23"": 2.8774069530760897, ""R21"": 0.5058059795035011, ""R23"": 4.140544009123112, ""alpha"": 0.37235848440741304, ""beta_k"": 0.4169484222999226, ""beta_tau"": 3.6672126369540603, ""beta_tau2"": 16.486570481053022}"
