run_id,converged,final_nll,elapsed_time,n2,N2,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,n2_truth,N2_truth,k_max_truth,tau_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta_tau_truth
30,True,36910.8244826508,15612.568795919418,6.2956290012348415,277.78241686412304,0.020292585733438628,220.1938289475027,1.583047224298225,0.1792228495381174,0.8141298605812131,2.0480638653237935,49.50811760519488,37.97847038661736,0.7341969993209062,0.5959006916822764,2.131490498947709,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
51,True,37035.99144317182,15647.28609585762,2.58547132612705,315.4683268631902,0.0359702580661566,206.89447689316972,2.731355254420693,4.526081801552315,1.1160505254083686,2.8034424003491205,33.218554269145216,50.05020422578771,0.7543414201678016,0.2847074248414183,2.7894103983977976,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
4,True,36910.8244826508,15672.829707145691,6.2956290012348415,277.78241686412304,0.020292585733438628,220.1938289475027,1.583047224298225,0.1792228495381174,0.8141298605812131,2.0480638653237935,49.50811760519488,37.97847038661736,0.7341969993209062,0.5959006916822764,2.131490498947709,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
0,True,36821.53466301301,15815.485251426697,11.952921301608725,302.57913045916297,0.005502434096741157,60.635595842836096,3.2967595254157254,3.0874017292063844,1.592621052358455,3.130949937478237,30.47246523193371,76.12102423020131,1.0650162044415048,0.4947201756398616,2.2011457823901712,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
27,True,36997.76695281647,15877.717476844788,6.625401447125622,241.4757487787031,0.03524447405983956,210.53588056797042,2.258316245967123,1.370253357264419,1.616700885720431,3.675999061900158,15.574241076119703,42.543859274213446,0.597587681967853,0.6227814275955534,2.4109526520145317,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
34,True,36997.76695281647,15932.232929944992,6.625401447125622,241.4757487787031,0.03524447405983956,210.53588056797042,2.258316245967123,1.370253357264419,1.616700885720431,3.675999061900158,15.574241076119703,42.543859274213446,0.597587681967853,0.6227814275955534,2.4109526520145317,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
40,True,36997.76695281647,16203.167078733444,6.625401447125622,241.4757487787031,0.03524447405983956,210.53588056797042,2.258316245967123,1.370253357264419,1.616700885720431,3.675999061900158,15.574241076119703,42.543859274213446,0.597587681967853,0.6227814275955534,2.4109526520145317,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
47,True,36997.76695281647,16206.743492126465,6.625401447125622,241.4757487787031,0.03524447405983956,210.53588056797042,2.258316245967123,1.370253357264419,1.616700885720431,3.675999061900158,15.574241076119703,42.543859274213446,0.597587681967853,0.6227814275955534,2.4109526520145317,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
5,True,36997.76695281647,16682.0156788826,6.625401447125622,241.4757487787031,0.03524447405983956,210.53588056797042,2.258316245967123,1.370253357264419,1.616700885720431,3.675999061900158,15.574241076119703,42.543859274213446,0.597587681967853,0.6227814275955534,2.4109526520145317,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
53,True,37090.66096362032,17344.341550827026,6.419446988267817,382.21641924347034,0.04051748351595249,210.70021516119328,3.294476818706708,2.057573355305765,1.9355872860254926,3.91616640937902,45.653906761192715,4.918324198537711,1.246004047636377,0.2908707598563912,2.2644932293352698,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
